"kernel_entry","mapping_kind","primitive_fanout","expected_occurrences","offline_occurrence_rows","dispatch_rows","sufficiency","reason","mapped_primitive_ids"
"reorder_weights_opt_232_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_626_weights_reorder_44"
"reorder_weights_opt_233_weight_0_0","unique_primitive","1","6","6","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_623_weights_reorder_42"
"reorder_weights_opt_234_weight_0_0","unique_primitive","1","6","6","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_620_weights_reorder_41"
"reorder_weights_opt_235_weight_0_0","unique_primitive","1","5","5","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_617_weights_reorder_40"
"reorder_weights_opt_248_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_578_weights_reorder_24"
"reorder_weights_opt_251_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_569_weights_reorder_25"
"reorder_weights_opt_252_weight_0_0","unique_primitive","1","4","4","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_566_weights_reorder_23"
"reorder_weights_opt_253_weight_0_0","unique_primitive","1","4","4","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_563_weights_reorder_22"
"reorder_weights_opt_254_weight_0_0","unique_primitive","1","3","3","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_560_weights_reorder_21"
"reorder_weights_opt_261_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_539_weights_reorder_11"
"reorder_weights_opt_264_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_530_weights_reorder_12"
"reorder_weights_opt_265_weight_0_0","unique_primitive","1","4","4","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_527_weights_reorder_10"
"reorder_weights_opt_266_weight_0_0","unique_primitive","1","3","3","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_524_weights_reorder_9"
"reorder_weights_opt_267_weight_0_0","unique_primitive","1","2","2","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_521_weights_reorder_8"
"reorder_weights_opt_274_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_500_weights_reorder_2"
"reorder_weights_opt_275_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_497_weights_reorder_0"
